profile,tag,skill,score,version
Data Engineer,Languages,SQL,64.8,1
Data Engineer,Languages,Python,61.9,1
Data Engineer,Languages,Java,23.1,1
Data Engineer,Languages,Scala,19.2,1
Data Engineer,Languages,NoSQL,16.2,1
Data Engineer,Languages,R,8,1
Data Engineer,Languages,Shell,7.8,1
Data Engineer,Languages,Go,6.5,1
Data Engineer,Languages,C#,3.7,1
Data Engineer,Languages,JavaScript,3.7,1
Data Engineer,Languages,C++,2.8,1
Data Engineer,Languages,T-SQL,2.3,1
Data Engineer,Languages,Bash,2.1,1
Data Engineer,Languages,C,1.8,1
Data Engineer,Languages,PowerShell,1.8,1
Data Engineer,Languages,Ruby,0.9,1
Data Engineer,Languages,HTML,0.8,1
Data Engineer,Languages,Perl,0.8,1
Data Engineer,Languages,TypeScript,0.6,1
Data Engineer,Languages,CSS,0.6,1
Data Engineer,Languages,PHP,0.6,1
Data Engineer,Languages,MATLAB,0.5,1
Data Engineer,Languages,VBA,0.4,1
Data Engineer,Languages,Rust,0.3,1
Data Engineer,Languages,Kotlin,0.3,1
Data Engineer,Languages,Crystal,0.3,1
Data Engineer,Languages,Julia,0.2,1
Data Engineer,Languages,Assembly,0.2,1
Data Engineer,Languages,Groovy,0.2,1
Data Engineer,Languages,Visual Basic,0.1,1
Data Engineer,Languages,Swift,0.1,1
Data Engineer,Languages,COBOL,0.1,1
Data Engineer,Languages,Solidity,0.1,1
Data Engineer,Languages,VB.NET,0.1,1
Data Engineer,Languages,Haskell,0.1,1
Data Engineer,Tools,Tableau,12,1
Data Engineer,Tools,Power BI,9.6,1
Data Engineer,Tools,SSIS,5.5,1
Data Engineer,Tools,Excel,4.6,1
Data Engineer,Tools,SAP,2.7,1
Data Engineer,Tools,Looker,2.4,1
Data Engineer,Tools,SAS,2.2,1
Data Engineer,Tools,Qlik,2.1,1
Data Engineer,Tools,Word,2,1
Data Engineer,Tools,SSRS,1.9,1
Data Engineer,Tools,Alteryx,1.4,1
Data Engineer,Tools,Splunk,1.1,1
Data Engineer,Tools,DAX,1,1
Data Engineer,Tools,Cognos,0.9,1
Data Engineer,Tools,PowerPoint,0.8,1
Data Engineer,Tools,MicroStrategy,0.8,1
Data Engineer,Tools,SharePoint,0.6,1
Data Engineer,Tools,Outlook,0.6,1
Data Engineer,Tools,Visio,0.4,1
Data Engineer,Tools,SPSS,0.2,1
Data Engineer,Tools,Google Sheets,0.1,1
Data Engineer,Tools,Spreadsheet,0.1,1
Data Engineer,Tools,MS Access,0.1,1
Data Engineer,Tools,DataRobot,0.1,1
Data Engineer,Databases,SQL Server,10.3,1
Data Engineer,Databases,MySQL,7.5,1
Data Engineer,Databases,Cassandra,5.8,1
Data Engineer,Databases,PostgresSQL,5.4,1
Data Engineer,Databases,MongoDB,4.9,1
Data Engineer,Databases,Elasticsearch,2.5,1
Data Engineer,Databases,DynamoDB,2.5,1
Data Engineer,Databases,DB2,1.2,1
Data Engineer,Databases,Redis,1.1,1
Data Engineer,Databases,Neo4j,0.7,1
Data Engineer,Databases,MariaDB,0.3,1
Data Engineer,Databases,CouchDB,0.2,1
Data Engineer,Databases,Firebase,0.2,1
Data Engineer,Databases,Couchbase,0.1,1
Data Engineer,Databases,Firestore,0.1,1
Data Engineer,Databases,SQLite,0.1,1
Data Engineer,Cloud,AWS,39.2,1
Data Engineer,Cloud,Azure,33.7,1
Data Engineer,Cloud,Snowflake,19.2,1
Data Engineer,Cloud,DataBricks,15.5,1
Data Engineer,Cloud,Redshift,13.6,1
Data Engineer,Cloud,GCP,11.6,1
Data Engineer,Cloud,Oracle,10,1
Data Engineer,Cloud,BigQuery,5.2,1
Data Engineer,Cloud,Aurora,1.7,1
Data Engineer,Cloud,IBM Cloud,0.4,1
Data Engineer,Cloud,Vmware,0.3,1
Data Engineer,Cloud,OpenStack,0.1,1
Data Engineer,Cloud,Watson,0.1,1
Data Engineer,Cloud,Colocation,0.1,1
Data Engineer,Libraries,Spark,32.7,1
Data Engineer,Libraries,Kafka,18.6,1
Data Engineer,Libraries,Hadoop,18.6,1
Data Engineer,Libraries,Airflow,14.3,1
Data Engineer,Libraries,PySpark,8.7,1
Data Engineer,Libraries,Pandas,3.4,1
Data Engineer,Libraries,NumPy,1.4,1
Data Engineer,Libraries,React,1.4,1
Data Engineer,Libraries,TensorFlow,1.3,1
Data Engineer,Libraries,Spirng,1.3,1
Data Engineer,Libraries,Jupyter,1.1,1
Data Engineer,Libraries,GDPR,0.9,1
Data Engineer,Libraries,PyTorch,0.9,1
Data Engineer,Libraries,GraphQL,0.8,1
Data Engineer,Libraries,Scikit-learn,0.8,1
Data Engineer,Libraries,Matplotlib,0.4,1
Data Engineer,Libraries,Keras,0.4,1
Data Engineer,Libraries,Selenium,0.3,1
Data Engineer,Libraries,Plotly,0.2,1
Data Engineer,Libraries,Seaborn,0.2,1
Data Engineer,Libraries,Rshiny,0.1,1
Data Engineer,Libraries,NLTK,0.1,1
Data Engineer,Frameworks,Node.js,1,1
Data Engineer,Frameworks,Express,0.8,1
Data Engineer,Frameworks,Angular,0.8,1
Data Engineer,Frameworks,Flask,0.7,1
Data Engineer,Frameworks,Django,0.6,1
Data Engineer,Frameworks,Phoenix,0.6,1
Data Engineer,Frameworks,PastAPI,0.4,1
Data Engineer,Frameworks,Vue.js,0.4,1
Data Engineer,Frameworks,jQuery,0.2,1
Data Engineer,Frameworks,Ruby on Rails,0.1,1
Data Engineer,Frameworks,ASP.NET,0.1,1
Data Engineer,Frameworks,React.js,0.1,1
Data Scientist,Languages,Python,68.9,1
Data Scientist,Languages,SQL,48,1
Data Scientist,Languages,R,37.9,1
Data Scientist,Languages,Java,10.4,1
Data Scientist,Languages,Scala,7.5,1
Data Scientist,Languages,C++,5.5,1
Data Scientist,Languages,NoSQL,4.8,1
Data Scientist,Languages,Go,4.6,1
Data Scientist,Languages,MATLAB,4.2,1
Data Scientist,Languages,JavaScript,3.4,1
Data Scientist,Languages,C,3.3,1
Data Scientist,Languages,C#,1.6,1
Data Scientist,Languages,VBA,1.2,1
Data Scientist,Languages,Shell,1.1,1
Data Scientist,Languages,Bash,0.9,1
Data Scientist,Languages,Perl,0.9,1
Data Scientist,Languages,Julia,0.8,1
Data Scientist,Languages,HTML,0.8,1
Data Scientist,Languages,CSS,0.5,1
Data Scientist,Languages,Ruby,0.5,1
Data Scientist,Languages,PHP,0.4,1
Data Scientist,Languages,T-SQL,0.3,1
Data Scientist,Languages,Visual Basic,0.3,1
Data Scientist,Languages,Crystal,0.2,1
Data Scientist,Languages,PowerShell,0.2,1
Data Scientist,Languages,Swift,0.2,1
Data Scientist,Languages,TypeScript,0.2,1
Data Scientist,Languages,Rust,0.2,1
Data Scientist,Languages,Assembly,0.2,1
Data Scientist,Languages,APL,0.1,1
Data Scientist,Languages,Kotlin,0.1,1
Data Scientist,Languages,Fortran,0.1,1
Data Scientist,Languages,Solidity,0.1,1
Data Scientist,Languages,VB.NET,0.1,1
Data Scientist,Tools,Tableau,20.2,1
Data Scientist,Tools,Excel,10.1,1
Data Scientist,Tools,Power BI,9.6,1
Data Scientist,Tools,SAS,9,1
Data Scientist,Tools,Word,3.3,1
Data Scientist,Tools,PowerPoint,3.1,1
Data Scientist,Tools,Qlik,2.6,1
Data Scientist,Tools,SPSS,2,1
Data Scientist,Tools,SAP,1.7,1
Data Scientist,Tools,Looker,1.5,1
Data Scientist,Tools,Outlook,1.2,1
Data Scientist,Tools,Alteryx,1.2,1
Data Scientist,Tools,SharePoint,0.8,1
Data Scientist,Tools,Splunk,0.6,1
Data Scientist,Tools,SSIS,0.5,1
Data Scientist,Tools,DAX,0.4,1
Data Scientist,Tools,MicroStrategy,0.4,1
Data Scientist,Tools,Visio,0.4,1
Data Scientist,Tools,DataRobot,0.4,1
Data Scientist,Tools,Spreadsheet,0.4,1
Data Scientist,Tools,SSRS,0.3,1
Data Scientist,Tools,Cognos,0.3,1
Data Scientist,Tools,Google Sheets,0.2,1
Data Scientist,Tools,MS Access,0.2,1
Data Scientist,Databases,SQL Server,2.4,1
Data Scientist,Databases,MySQL,2.1,1
Data Scientist,Databases,MongoDB,1.7,1
Data Scientist,Databases,PostgresSQL,1.4,1
Data Scientist,Databases,Elasticsearch,1,1
Data Scientist,Databases,Cassandra,0.9,1
Data Scientist,Databases,Neo4j,0.9,1
Data Scientist,Databases,DynamoDB,0.3,1
Data Scientist,Databases,DB2,0.3,1
Data Scientist,Databases,Redis,0.2,1
Data Scientist,Databases,MariaDB,0.1,1
Data Scientist,Databases,SQLite,0.1,1
Data Scientist,Cloud,AWS,16.3,1
Data Scientist,Cloud,Azure,13.1,1
Data Scientist,Cloud,GCP,5.2,1
Data Scientist,Cloud,DataBricks,5,1
Data Scientist,Cloud,Oracle,3.4,1
Data Scientist,Cloud,Snowflake,3.2,1
Data Scientist,Cloud,BigQuery,2.1,1
Data Scientist,Cloud,Redshift,1.5,1
Data Scientist,Cloud,IBM Cloud,0.3,1
Data Scientist,Cloud,Aurora,0.2,1
Data Scientist,Cloud,Watson,0.2,1
Data Scientist,Cloud,Vmware,0.1,1
Data Scientist,Cloud,Digital Ocean,0.1,1
Data Scientist,Cloud,OpenStack,0.1,1
Data Scientist,Libraries,Spark,15.4,1
Data Scientist,Libraries,TensorFlow,12.2,1
Data Scientist,Libraries,PyTorch,9.4,1
Data Scientist,Libraries,Hadoop,9.4,1
Data Scientist,Libraries,Pandas,9.3,1
Data Scientist,Libraries,Scikit-learn,7.3,1
Data Scientist,Libraries,NumPy,6.6,1
Data Scientist,Libraries,Keras,5.1,1
Data Scientist,Libraries,PySpark,4.9,1
Data Scientist,Libraries,Matplotlib,3.5,1
Data Scientist,Libraries,Jupyter,2.6,1
Data Scientist,Libraries,Airflow,2.2,1
Data Scientist,Libraries,Kafka,2.1,1
Data Scientist,Libraries,Plotly,1.4,1
Data Scientist,Libraries,Seaborn,1.4,1
Data Scientist,Libraries,NLTK,1.1,1
Data Scientist,Libraries,Spring,0.9,1
Data Scientist,Libraries,React,0.8,1
Data Scientist,Libraries,OpenCV,0.8,1
Data Scientist,Libraries,ggplot2,0.7,1
Data Scientist,Libraries,MXNet,0.6,1
Data Scientist,Libraries,Tidyverse,0.6,1
Data Scientist,Libraries,GDPR,0.5,1
Data Scientist,Libraries,Rshiny,0.4,1
Data Scientist,Libraries,Hugging Face,0.3,1
Data Scientist,Libraries,Theano,0.3,1
Data Scientist,Libraries,dplyr,0.2,1
Data Scientist,Libraries,Selenium,0.1,1
Data Scientist,Libraries,MLR,0.1,1
Data Scientist,Libraries,GraphQL,0.1,1
Data Scientist,Libraries,Electron,0.1,1
Data Scientist,Frameworks,Flask,0.9,1
Data Scientist,Frameworks,Express,0.7,1
Data Scientist,Frameworks,Django,0.5,1
Data Scientist,Frameworks,Angular,0.4,1
Data Scientist,Frameworks,Node.js,0.4,1
Data Scientist,Frameworks,Phoenix,0.4,1
Data Scientist,Frameworks,Vue.js,0.3,1
Data Scientist,Frameworks,FASTAPI,0.3,1
Data Scientist,Frameworks,jQuery,0.2,1
Data Scientist,Frameworks,ASP.NET,0.1,1
Data Analyst,Languages,SQL,47.3,1
Data Analyst,Languages,Python,30.3,1
Data Analyst,Languages,R,16.5,1
Data Analyst,Languages,Go,3.8,1
Data Analyst,Languages,VBA,3.7,1
Data Analyst,Languages,Java,3.1,1
Data Analyst,Languages,JavaScript,2.5,1
Data Analyst,Languages,C,1.7,1
Data Analyst,Languages,NoSQL,1.4,1
Data Analyst,Languages,MATLAB,1.2,1
Data Analyst,Languages,Scala,1,1
Data Analyst,Languages,C++,1,1
Data Analyst,Languages,C#,1,1
Data Analyst,Languages,HTML,0.8,1
Data Analyst,Languages,T-SQL,0.7,1
Data Analyst,Languages,Crystal,0.6,1
Data Analyst,Languages,Shell,0.6,1
Data Analyst,Languages,Visual Basic,0.6,1
Data Analyst,Languages,CSS,0.5,1
Data Analyst,Languages,PHP,0.4,1
Data Analyst,Languages,PowerShell,0.4,1
Data Analyst,Languages,Bash,0.3,1
Data Analyst,Languages,Perl,0.3,1
Data Analyst,Languages,Assembly,0.2,1
Data Analyst,Languages,Swift,0.2,1
Data Analyst,Languages,Ruby,0.1,1
Data Analyst,Languages,Julia,0.1,1
Data Analyst,Languages,VB.NET,0.1,1
Data Analyst,Languages,TypeScript,0.1,1
Data Analyst,Tools,Excel,33.2,1
Data Analyst,Tools,Tableau,24.3,1
Data Analyst,Tools,Power BI,20.2,1
Data Analyst,Tools,SAS,7.7,1
Data Analyst,Tools,PowerPoint,7,1
Data Analyst,Tools,Word,6.8,1
Data Analyst,Tools,SAP,5.4,1
Data Analyst,Tools,Looker,3.1,1
Data Analyst,Tools,Qlik,2.9,1
Data Analyst,Tools,SPSS,2.7,1
Data Analyst,Tools,Alteryx,2.4,1
Data Analyst,Tools,Outlook,2,1
Data Analyst,Tools,SharePoint,1.9,1
Data Analyst,Tools,Google Sheets,1.6,1
Data Analyst,Tools,DAX,1.6,1
Data Analyst,Tools,SSIS,1.4,1
Data Analyst,Tools,SSRS,1.2,1
Data Analyst,Tools,Visio,1.1,1
Data Analyst,Tools,Spreadsheet,1.1,1
Data Analyst,Tools,Cognos,1,1
Data Analyst,Tools,MicroStrategy,9,1
Data Analyst,Tools,MS Access,0.8,1
Data Analyst,Tools,Splunk,0.4,1
Data Analyst,Databases,SQL Server,4.7,1
Data Analyst,Databases,MySQL,1.6,1
Data Analyst,Databases,PostgresSQL,1,1
Data Analyst,Databases,MongoDB,0.5,1
Data Analyst,Databases,DB2,0.5,1
Data Analyst,Databases,Elasticsearch,0.3,1
Data Analyst,Databases,Firebase,0.2,1
Data Analyst,Databases,Cassandra,0.2,1
Data Analyst,Databases,Neo4j,0.1,1
Data Analyst,Databases,DynamoDB,0.1,1
Data Analyst,Databases,Redis,0.1,1
Data Analyst,Cloud,Azure,5.6,1
Data Analyst,Cloud,Oracle,5.3,1
Data Analyst,Cloud,AWS,4.9,1
Data Analyst,Cloud,Snowflake,3.3,1
Data Analyst,Cloud,BigQuery,1.9,1
Data Analyst,Cloud,DataBricks,1.7,1
Data Analyst,Cloud,GCP,1.7,1
Data Analyst,Cloud,Redshift,1.2,1
Data Analyst,Cloud,Watson,0.1,1
Data Analyst,Cloud,Aurora,0.1,1
Data Analyst,Cloud,Vmware,0.1,1
Data Analyst,Cloud,IBM Cloud,0.1,1
Data Analyst,Libraries,Spark,2.8,1
Data Analyst,Libraries,Hadoop,2.3,1
Data Analyst,Libraries,Pandas,1.9,1
Data Analyst,Libraries,Airflow,1,1
Data Analyst,Libraries,NumPy,0.9,1
Data Analyst,Libraries,GDPR,0.9,1
Data Analyst,Libraries,PySpark,0.8,1
Data Analyst,Libraries,Kafka,0.6,1
Data Analyst,Libraries,React,0.6,1
Data Analyst,Libraries,Matplotlib,0.5,1
Data Analyst,Libraries,Jupyter,0.5,1
Data Analyst,Libraries,Spring,0.4,1
Data Analyst,Libraries,TensorFlow,0.4,1
Data Analyst,Libraries,Scikit-learn,0.4,1
Data Analyst,Libraries,Plotly,0.3,1
Data Analyst,Libraries,PyTorch,0.3,1
Data Analyst,Libraries,Seaborn,0.2,1
Data Analyst,Libraries,Keras,0.1,1
Data Analyst,Libraries,Selenium,0.1,1
Data Analyst,Libraries,ggplot2,0.1,1
Data Analyst,Libraries,Rshiny,0.1,1
Data Analyst,Frameworks,Express,0.8,1
Data Analyst,Frameworks,Vue.js,0.5,1
Data Analyst,Frameworks,Node.js,0.3,1
Data Analyst,Frameworks,Angular,0.2,1
Data Analyst,Frameworks,Flask,0.2,1
Data Analyst,Frameworks,Phoenix,0.2,1
Data Analyst,Frameworks,Django,0.1,1
Data Analyst,Frameworks,jQuery,0.1,1
Data Analyst,Frameworks,ASP.NET,0.1,1
